"AMPHIBIANS","BIRDS","BEES","BRYOPHYTES","BEETLES","MAY-STONE-CADDISFLIES","FISHES","FUNGI","BUTTERFLIES","LICHENS","MAMMALS","MOLLUSCS","DRAGONFLIES","GRASSHOPPERS","VASCULAR_PLANTS","REPTILES","SPIDERS"
"_","_","_","HABsb_6","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_6.1","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_6.2","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_6.2.","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_6.3","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_6.3.1","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_6.3.7","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_6.3a","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_6.3b","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_6.3c","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_6.5","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_6.6","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_6.6.2","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_6.6.3","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_7","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_7.1","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_7.2","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_7.2.1","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_8","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_8.1","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_8.1.6","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_8.2","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_8.2.1","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_9.2","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_9.2.4","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","ROCKbet_substr","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HUMUSbet_substr","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","BARKbet_substr","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","DEADWbet_substr","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","nWOODYbet_substr","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","ANIMALbet_substr","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","FORESTbet_substr","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","Elevation_up","_","_","_","_","_","_","_","_","_","_","_","_","_"
